文件名	360网盘密码	AZW3格式(推荐)	EPUB格式	MOBI格式	PDF格式	城通网盘(备份)	天翼云盘(推荐)	天翼云盘密码	微软云盘	百度网盘	百度网盘密码
kindle人精品资源区1-10打包下载										https://pan.baidu.com/s/1kWDevbx 	62kq	
kindle人精品资源区11-20打包下载										http://pan.baidu.com/s/1dF4XPXB	yyu7	
kindle人精品资源区21-30打包下载										http://pan.baidu.com/s/1gfHfcjx	7iam	
kindle人精品资源区31-40打包下载										https://pan.baidu.com/s/1mjiAiIs 	dy1m	
kindle人精品资源区51-60打包下载										https://pan.baidu.com/s/1edLg78 	4l7j	
kindle人精品资源区61-78打包下载										https://pan.baidu.com/s/1pMVTd7l 	mpiv	
kindle人全站资源分享-自购区0-7										https://pan.baidu.com/s/1cZ1bqQ 	eqt4	
kindle人全站资源分享-自购区8-20										https://pan.baidu.com/s/1c3zLuXM 	o05l	
kindle人全站资源分享-自购区21-40										http://pan.baidu.com/s/1kV51947	inq7	
kindle人全站资源分享-自购区41-60										http://pan.baidu.com/s/1cLtaaE	n8vg	
kindle人全站资源分享-自购区61-80										http://pan.baidu.com/s/1hsLgLdq	26qb	
kindle人全站资源分享-自购区81-93										http://pan.baidu.com/s/1boEpksv	s4u4	
kindle人全站资源分享-自制区1-20						https://u11851471.ctfile.com/fs/11851471-243373598			https://1drv.ms/u/s!Agu94tZH0D3Czg3n74c9_DfaR2XX	https://pan.baidu.com/s/1q2B4A21Vy4G8sb9x2o_DUQ 	cq2u	
kindle人全站资源分享-自制区21-40										http://pan.baidu.com/s/1kV2JMKJ	ij3r	
kindle人全站资源分享-自制区41-60										http://pan.baidu.com/s/1kV8P0QN	zrpd	
kindle人全站资源分享-自制区61-85										http://pan.baidu.com/s/1mim2JS8	hnxp	
kindle人全站资源分享-合辑第一部分										http://pan.baidu.com/s/1c1B5tmS	dade	
kindle人全站资源分享-合辑第二部分										http://pan.baidu.com/s/1jIddzUY	v95r	
kindle人全站资源分享-合辑第三部分										http://pan.baidu.com/s/1bAT1qm	z4vy	
爱看豆全站资源打包										http://pan.baidu.com/s/1dF4sah7  	ttad	
新编剑桥史全集下载										https://pan.baidu.com/s/1JYFqPnfkMDMhxVFkuHqmJw	lygu	
kindle书库打包下载										http://pan.baidu.com/s/1miReuEG 	jd62	
汉译世界学术名著丛书										 http://pan.baidu.com/s/1jI6jFOa 	grsp	
银河帝国1-12全集下载+神们自己+永恒的终结										http://pan.baidu.com/s/1jINKF1G 	62x5	
976本6寸PDF格式书籍下载										http://pan.baidu.com/s/1bZVYDg 	gqna	
商务印书馆汉译世界名著 历史·地理类 93本										 http://pan.baidu.com/s/1o8an45G 	72f5	
英文原著一万册下载										https://pan.baidu.com/s/1M34tsNOhLiOhV6rKfMgEHA	khdd	
商务印书馆汉译世界名著 哲学类 153本										http://pan.baidu.com/s/1o8Os26Y 	gpv4	
商务印书馆汉译世界名著 政治·法律·社会类 118本下载										 http://pan.baidu.com/s/1pLOWxE7 	p3q7	
商务印书馆汉译世界名著 经济类 109本下载										http://pan.baidu.com/s/1gf8rKbT 	dtfr	
商务印书馆汉译世界名著 语言学类 5本下载										http://pan.baidu.com/s/1nvpOBbz 	buq8	
中国国学大典5辑下载（缺3辑）										 http://pan.baidu.com/s/1jIjjhrC 	ct64	
二十世纪中国史学名著(共33卷)										https://pan.baidu.com/s/15YOpnxRuw1WZIlakjdXDoA	3cqm	
二十四史全译下载										http://pan.baidu.com/s/1i5rYBT7 	ajyr	
目录结构生成器										http://yun.baidu.com/share/link?shareid=3848411942&uk=4228819563		
蔡志忠漫画系列下载 PDF格式										https://pan.baidu.com/s/1EjUg5_dy-frh-q5FLVYZHw	4o7x	
古龙+金庸全集下载										http://pan.baidu.com/s/1mivWsmG	93dq	
哈佛百年经典（38卷）下载										http://pan.baidu.com/s/1jHP6wF8 		
《温故》（套装共30册）下载										 http://pan.baidu.com/s/1miPI5OO 	uu6w	
本草纲目(白话手绘彩图典藏本) -										http://pan.baidu.com/s/1pLpeEb5 		
王阳明大传：知行合一的心学智慧（共三册）										https://pan.baidu.com/s/1iwRwNLq-T4nO3rSqqR5tHQ	gv2s	
简.奥斯丁小说全集										http://pan.baidu.com/s/1c1S0yQ0 	4rfh	
国学备览(套装共12册最全国学合辑) - 赵敏利 & 尹小林										http://pan.baidu.com/s/1geF3eYf 		
簪中录（全四册）										http://pan.baidu.com/s/1qYBxndU 	kw3p	
典藏中国（全17册）										 http://pan.baidu.com/s/1c2iF312 	2731	
唐宋间迷失的帝国（套装5册）										 http://pan.baidu.com/s/1sltet6d 	密码:	
血腥的盛唐_全7册										http://pan.baidu.com/s/1c1XkjoW 	ddsc	
《中国历朝通俗演义》						https://page71.ctfile.com/dir/11851471-24659686-a62396/				http://pan.baidu.com/s/1bN2nPs 	0qqr	
余罪：我的刑侦笔记1-4										 http://pan.baidu.com/s/1bp5JLIB 	hp9w	
